I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.16328,0.19926,0.19496,-0.01528,-0.23578
0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.1612,0.19748,0.19496,-0.01528,-0.23578
0.05224,-0.19734,-0.30096,0.13402,0.17112,-0.25002,0.26162,0.1612,0.19748,0.19496,-0.0131,-0.22834
0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.1612,0.19748,0.19666,-0.0131,-0.22834
0.07636,-0.19734,-0.3122,0.12658,0.19616,-0.25002,0.26662,0.16328,0.19926,0.19496,-0.01528,-0.23206
0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.16538,0.19926,0.19496,-0.01748,-0.23578
0.06832,-0.2022,-0.31784,0.12658,0.19616,-0.2553,0.26662,0.16748,0.20106,0.19496,-0.01966,-0.23206
0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26662,0.16748,0.20106,0.19496,-0.01966,-0.23578
0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.2716,0.16748,0.20286,0.19666,-0.01966,-0.2432
0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26662,0.16748,0.20286,0.19838,-0.01528,-0.23578
0.07636,-0.2022,-0.31784,0.12658,0.20452,-0.2553,0.26662,0.16538,0.20106,0.19838,-0.01528,-0.23206
0.1005,-0.19734,-0.3347,0.11168,0.2212,-0.26056,0.26162,0.16328,0.19926,0.19838,-0.0131,-0.23206
0.08442,-0.19734,-0.31784,0.12658,0.20452,-0.2553,0.26662,0.16538,0.19926,0.19838,-0.00874,-0.22834
0.06028,-0.20708,-0.31784,0.13402,0.18782,-0.2553,0.26662,0.16748,0.20106,0.19838,-0.00656,-0.22092
0.06832,-0.21194,-0.32346,0.13402,0.20452,-0.26582,0.26662,0.16748,0.20286,0.19666,-0.00656,-0.22092
0.06832,-0.20708,-0.31784,0.13402,0.19616,-0.26056,0.26662,0.16538,0.19926,0.19324,-0.01092,-0.22834
0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26662,0.16748,0.20106,0.19666,-0.00656,-0.22464
0.0442,-0.19734,-0.29534,0.13402,0.16276,-0.24476,0.27658,0.16956,0.20466,0.19838,-0.00218,-0.2172
0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.28156,0.17166,0.20466,0.19838,-0.00436,-0.22464
0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.27658,0.16956,0.20466,0.2001,-0.00656,-0.22834
0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.2716,0.16748,0.20106,0.19838,-0.00656,-0.22834
0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.26662,0.16538,0.20106,0.19838,-0.00436,-0.22834
0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.2716,0.16748,0.20106,0.19666,-0.00436,-0.22834
0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.26662,0.16538,0.20106,0.19324,-0.00656,-0.22834
0.0442,-0.22656,-0.32346,0.15636,0.18782,-0.27108,0.26662,0.16328,0.19926,0.19152,-0.01092,-0.23206
0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.2716,0.16538,0.20286,0.19496,-0.00656,-0.22464
0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.26662,0.16748,0.20286,0.19496,-0.00874,-0.22834
0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.26662,0.16328,0.19926,0.19152,-0.0131,-0.23206
0.06832,-0.20708,-0.31784,0.13402,0.19616,-0.26056,0.26662,0.16328,0.19926,0.19152,-0.01748,-0.23948
0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.16328,0.19926,0.19324,-0.01528,-0.23578
0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26162,0.16328,0.19748,0.19324,-0.01528,-0.23578
0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.25664,0.1591,0.19568,0.1898,-0.01966,-0.23948
0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.26162,0.157,0.19208,0.18808,-0.01966,-0.2432
0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.06028,-0.21194,-0.31784,0.14146,0.19616,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.26162,0.1612,0.19388,0.18464,-0.01748,-0.23948
0.0442,-0.21194,-0.3122,0.14892,0.17946,-0.2553,0.26662,0.16328,0.19568,0.18636,-0.01748,-0.23578
0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26662,0.16328,0.19568,0.18808,-0.01748,-0.23948
0.02812,-0.2217,-0.3122,0.1638,0.17112,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.02184,-0.2432
0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.26162,0.1591,0.1903,0.18636,-0.02184,-0.2432
0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.25664,0.157,0.1885,0.18464,-0.02184,-0.2432
0.06028,-0.21682,-0.32346,0.14146,0.19616,-0.26582,0.26162,0.157,0.1903,0.18464,-0.01748,-0.23578
0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.26662,0.1591,0.1903,0.18464,-0.01966,-0.23578
-0.0201,-0.2363,-0.29534,0.1936,0.12938,-0.26056,0.26662,0.1591,0.1903,0.18292,-0.01966,-0.23206
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.25664,0.157,0.1867,0.1795,-0.02184,-0.23578
0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.25664,0.15492,0.1849,0.1795,-0.02184,-0.23578
0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.25664,0.157,0.1867,0.1795,-0.02402,-0.23578
0.0442,-0.23144,-0.32908,0.1638,0.19616,-0.27634,0.25166,0.15492,0.1867,0.1795,-0.02622,-0.23948
0.02008,-0.24606,-0.32908,0.18614,0.17946,-0.28688,0.25166,0.157,0.1867,0.1795,-0.02622,-0.23948
0.02008,-0.25092,-0.3347,0.18614,0.18782,-0.29214,0.25664,0.15492,0.1849,0.1812,-0.02402,-0.23948
0.02812,-0.24606,-0.3347,0.1787,0.18782,-0.28688,0.25664,0.15492,0.1849,0.1812,-0.02402,-0.23948
0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.25664,0.15282,0.18312,0.1795,-0.02622,-0.2432
0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.25664,0.15282,0.18132,0.17606,-0.03058,-0.2432
0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.25166,0.14864,0.17952,0.17262,-0.03276,-0.2469
0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.25664,0.15072,0.17952,0.17262,-0.03276,-0.25062
0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26162,0.15492,0.18312,0.17606,-0.03058,-0.25062
0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.26662,0.15282,0.18312,0.17606,-0.03058,-0.25062
0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.15282,0.17952,0.17434,-0.03494,-0.25434
0.05224,-0.2217,-0.32346,0.14892,0.19616,-0.27108,0.25166,0.15072,0.17952,0.17434,-0.03276,-0.25062
0.06832,-0.23144,-0.34596,0.14892,0.21286,-0.28688,0.24668,0.15072,0.17952,0.17434,-0.03058,-0.2469
0.06028,-0.24118,-0.35158,0.1638,0.21286,-0.29214,0.25166,0.15072,0.17952,0.17778,-0.0284,-0.2469
0.03616,-0.24118,-0.3347,0.17126,0.19616,-0.28688,0.25664,0.15282,0.17952,0.17606,-0.0284,-0.2469
0.02008,-0.24118,-0.32346,0.1787,0.17946,-0.2816,0.2417,0.14864,0.17592,0.17262,-0.03058,-0.2469
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.15072,0.17592,0.17262,-0.03058,-0.2469
0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.25664,0.15072,0.17772,0.17262,-0.0284,-0.2469
0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.25664,0.15072,0.17772,0.17606,-0.02622,-0.2432
0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.25664,0.15072,0.17772,0.17778,-0.0284,-0.2432
0.0442,-0.22656,-0.32346,0.15636,0.18782,-0.27108,0.25664,0.15282,0.17772,0.17778,-0.03058,-0.2469
0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.25166,0.15282,0.17772,0.17606,-0.03058,-0.25062
0.0442,-0.2363,-0.3347,0.1638,0.19616,-0.2816,0.25166,0.15072,0.17772,0.17606,-0.03276,-0.2469
0.03616,-0.2363,-0.32908,0.17126,0.18782,-0.2816,0.25166,0.15072,0.17592,0.17434,-0.03276,-0.2469
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.14654,0.17234,0.17262,-0.03494,-0.2469
0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.2417,0.14654,0.17054,0.16746,-0.03494,-0.25062
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.25166,0.14864,0.17414,0.16918,-0.03276,-0.25062
0.02008,-0.22656,-0.3122,0.17126,0.16276,-0.26582,0.25664,0.15282,0.17772,0.17434,-0.0284,-0.2432
0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.25664,0.15492,0.17952,0.17434,-0.0284,-0.2432
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.15072,0.17592,0.1709,-0.03058,-0.25062
0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.24668,0.14864,0.17414,0.16918,-0.03494,-0.25434
0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.24668,0.15072,0.17592,0.1709,-0.03276,-0.25062
0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.2367,0.14864,0.17414,0.1709,-0.03494,-0.25434
0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.23172,0.14654,0.17234,0.16746,-0.03714,-0.25804
0.004,-0.24118,-0.31784,0.18614,0.16276,-0.27634,0.23172,0.14444,0.17054,0.16746,-0.03494,-0.25804
0.004,-0.24606,-0.31784,0.1936,0.16276,-0.2816,0.2367,0.14654,0.17234,0.16918,-0.03276,-0.25062
0.004,-0.24606,-0.31784,0.1936,0.16276,-0.2816,0.2417,0.14654,0.17234,0.16918,-0.03276,-0.2469
0.0442,-0.2363,-0.3347,0.1638,0.19616,-0.2816,0.24668,0.14654,0.17414,0.16918,-0.03276,-0.2469
0.05224,-0.23144,-0.3347,0.15636,0.20452,-0.2816,0.2417,0.14654,0.17234,0.16746,-0.03494,-0.2469
0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.2417,0.14864,0.17054,0.16746,-0.03932,-0.25062
0.01204,-0.22656,-0.30658,0.17126,0.15442,-0.26056,0.24668,0.14864,0.17234,0.16918,-0.03932,-0.25434
0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.2367,0.14654,0.17234,0.16918,-0.0415,-0.26176
0.05224,-0.22656,-0.32908,0.15636,0.19616,-0.27634,0.23172,0.14234,0.16874,0.16574,-0.04368,-0.26918
0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.23172,0.14234,0.17234,0.16746,-0.03714,-0.26176
0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.2417,0.14654,0.17414,0.1709,-0.03494,-0.25434
-0.01206,-0.24118,-0.30658,0.1936,0.14608,-0.27108,0.2367,0.14444,0.17054,0.16746,-0.03714,-0.25434
-0.00402,-0.24606,-0.31784,0.1936,0.15442,-0.27634,0.23172,0.14234,0.16874,0.16404,-0.03932,-0.25434
-0.00402,-0.25092,-0.31784,0.20104,0.16276,-0.2816,0.23172,0.14026,0.17054,0.16404,-0.03714,-0.25434
-0.00402,-0.24606,-0.31784,0.1936,0.15442,-0.27634,0.2367,0.14026,0.17054,0.16574,-0.03932,-0.25804
0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.2417,0.14444,0.17234,0.16918,-0.03494,-0.25434
0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.2367,0.14444,0.17234,0.1709,-0.03276,-0.25434
0.02812,-0.24606,-0.3347,0.1787,0.18782,-0.28688,0.23172,0.14654,0.17234,0.1709,-0.03276,-0.25434
0.03616,-0.2363,-0.32908,0.17126,0.18782,-0.2816,0.22674,0.14234,0.17054,0.1709,-0.03494,-0.25804
0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.22674,0.14444,0.17054,0.16918,-0.03494,-0.25804
0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.22674,0.14234,0.16874,0.16918,-0.03494,-0.26176
0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.22674,0.14234,0.16874,0.16746,-0.03276,-0.25434
0.05224,-0.21194,-0.31784,0.14146,0.18782,-0.26056,0.22674,0.14234,0.16874,0.16746,-0.03276,-0.25062
0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.21678,0.14234,0.16874,0.16746,-0.03494,-0.25804
0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.22674,0.14234,0.17234,0.16918,-0.03276,-0.25062
-0.00402,-0.22656,-0.29534,0.1787,0.13772,-0.2553,0.23172,0.14654,0.17592,0.17434,-0.03058,-0.25062
-0.01206,-0.22656,-0.2897,0.18614,0.12938,-0.2553,0.22674,0.14864,0.17772,0.17606,-0.03058,-0.25062
-0.01206,-0.22656,-0.2897,0.18614,0.12938,-0.2553,0.23172,0.14864,0.17772,0.17606,-0.03276,-0.25434
0.01204,-0.20708,-0.28408,0.15636,0.13772,-0.24476,0.2417,0.15282,0.18132,0.1812,-0.0284,-0.2469
0.0442,-0.19246,-0.28408,0.12658,0.15442,-0.23424,0.24668,0.15492,0.1849,0.18292,-0.02622,-0.2469
0.03616,-0.19246,-0.27846,0.13402,0.14608,-0.23424,0.2367,0.15492,0.18312,0.1812,-0.0284,-0.2469
0.02812,-0.18758,-0.2672,0.13402,0.13772,-0.2237,0.2417,0.157,0.1849,0.18292,-0.02622,-0.2432
0.03616,-0.17296,-0.25596,0.12658,0.12938,-0.21318,0.25166,0.157,0.1849,0.18292,-0.02402,-0.2432
0.0442,-0.17296,-0.26158,0.11912,0.13772,-0.21318,0.25664,0.157,0.1867,0.18292,-0.02402,-0.2432
0.0442,-0.17296,-0.26158,0.11912,0.13772,-0.21318,0.26162,0.157,0.1885,0.18464,-0.02184,-0.2432
0.05224,-0.15348,-0.2447,0.10422,0.12938,-0.19738,0.26662,0.1612,0.1885,0.18808,-0.02184,-0.23948
0.0442,-0.16322,-0.25034,0.11168,0.12938,-0.20266,0.26662,0.1591,0.1885,0.18636,-0.02184,-0.2432
0.02812,-0.1681,-0.2447,0.12658,0.12102,-0.20266,0.2716,0.1612,0.1885,0.18636,-0.02402,-0.2469
0.07636,-0.1681,-0.27846,0.10422,0.17112,-0.21844,0.26662,0.1591,0.1885,0.18636,-0.02402,-0.25062
0.08442,-0.16322,-0.27846,0.09678,0.17112,-0.21844,0.2716,0.1591,0.1885,0.18636,-0.02184,-0.25062
0.02812,-0.1681,-0.2447,0.12658,0.12102,-0.20266,0.28156,0.16328,0.19388,0.1898,-0.01528,-0.23948
0.02812,-0.15836,-0.23346,0.11912,0.11268,-0.19212,0.28654,0.16748,0.19748,0.19324,-0.0131,-0.23206
0.0442,-0.13886,-0.2222,0.09678,0.11268,-0.17634,0.28654,0.16538,0.19388,0.1898,-0.01748,-0.23948
0.0442,-0.12424,-0.20534,0.08188,0.09598,-0.16054,0.28654,0.16328,0.19568,0.1898,-0.01748,-0.23578
0.0442,-0.1145,-0.19408,0.07444,0.08764,-0.15002,0.29152,0.16328,0.19568,0.19152,-0.01528,-0.23206
0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.27658,0.157,0.19388,0.19324,-0.01528,-0.23578
0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.26162,0.14864,0.1885,0.18808,-0.01748,-0.23578
0.03616,-0.10476,-0.1772,0.07444,0.07094,-0.13948,0.2417,0.13816,0.18132,0.1812,-0.02402,-0.23948
0.05224,-0.09988,-0.18284,0.05954,0.08764,-0.13948,0.22674,0.13188,0.17772,0.1812,-0.02184,-0.23948
0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.22176,0.12978,0.17414,0.1795,-0.01966,-0.23578
0.06832,-0.09988,-0.19408,0.0521,0.10434,-0.14476,0.21678,0.13398,0.17592,0.1812,-0.0131,-0.22464
0.08442,-0.07064,-0.1772,0.02232,0.10434,-0.11844,0.2118,0.13398,0.17772,0.18464,-0.00874,-0.2172
0.07636,-0.07552,-0.17158,0.02976,0.08764,-0.11844,0.2068,0.1277,0.17592,0.1812,-0.01092,-0.22092
0.08442,-0.0804,-0.18284,0.02976,0.10434,-0.12896,0.19684,0.1277,0.17592,0.18464,-0.01092,-0.22092
0.08442,-0.0804,-0.18284,0.02976,0.10434,-0.12896,0.19684,0.12978,0.17414,0.1812,-0.01092,-0.22092
0.06028,-0.09502,-0.18284,0.0521,0.08764,-0.13422,0.19684,0.12978,0.17592,0.1812,-0.0131,-0.22092
0.06832,-0.10476,-0.1997,0.05954,0.10434,-0.15002,0.2068,0.13188,0.17592,0.1812,-0.0131,-0.22092
0.08442,-0.1145,-0.2222,0.05954,0.12938,-0.1658,0.20182,0.13398,0.17592,0.1812,-0.01748,-0.23206
0.07636,-0.12424,-0.22784,0.067,0.12938,-0.17108,0.20182,0.13398,0.17592,0.18464,-0.01528,-0.22464
0.06832,-0.13886,-0.23908,0.08188,0.13772,-0.18686,0.20182,0.13606,0.17592,0.18464,-0.0131,-0.22464
0.08442,-0.1486,-0.26158,0.08188,0.16276,-0.20266,0.2068,0.14026,0.17772,0.18464,-0.01092,-0.2172
0.11658,-0.1486,-0.2897,0.067,0.20452,-0.21318,0.2118,0.14444,0.18312,0.18808,-0.00656,-0.2135
0.11658,-0.15348,-0.29534,0.067,0.20452,-0.21844,0.2118,0.14444,0.1849,0.1898,-0.00436,-0.20978
0.11658,-0.1681,-0.3122,0.08188,0.21286,-0.23424,0.2118,0.14654,0.1867,0.19152,-0.00218,-0.20606
0.10854,-0.17296,-0.3122,0.08934,0.20452,-0.2395,0.2118,0.14444,0.1849,0.1898,-0.00656,-0.20978
0.10854,-0.17784,-0.31784,0.08934,0.21286,-0.24476,0.2118,0.14234,0.18312,0.18808,-0.00874,-0.20978
0.12462,-0.17296,-0.31784,0.08188,0.2212,-0.24476,0.2068,0.14234,0.18132,0.18636,-0.00874,-0.20606
0.12462,-0.1681,-0.31784,0.07444,0.2212,-0.2395,0.20182,0.14026,0.17952,0.18636,-0.00656,-0.20606
0.1005,-0.17784,-0.3122,0.09678,0.20452,-0.2395,0.19684,0.13816,0.17592,0.18292,-0.01092,-0.20978
0.1005,-0.1681,-0.30096,0.08934,0.20452,-0.22898,0.18688,0.13398,0.17234,0.17778,-0.01528,-0.2135
0.1005,-0.16322,-0.29534,0.08188,0.19616,-0.2237,0.18188,0.1277,0.16874,0.17606,-0.01748,-0.2135
0.10854,-0.17296,-0.3122,0.08934,0.20452,-0.2395,0.19186,0.13188,0.17234,0.17434,-0.01748,-0.2135
0.08442,-0.17784,-0.29534,0.10422,0.18782,-0.23424,0.20182,0.13816,0.17414,0.17606,-0.01528,-0.2135
0.05224,-0.19734,-0.29534,0.12658,0.17112,-0.24476,0.2068,0.14026,0.17414,0.17606,-0.01748,-0.22464
0.06832,-0.19734,-0.30658,0.12658,0.18782,-0.25002,0.2118,0.14026,0.17414,0.1709,-0.02402,-0.23206
0.08442,-0.19734,-0.31784,0.12658,0.20452,-0.2553,0.22176,0.14234,0.17592,0.17606,-0.02184,-0.23206
0.06832,-0.21682,-0.32908,0.14146,0.20452,-0.27108,0.21678,0.14234,0.17592,0.17606,-0.02402,-0.23206
0.05224,-0.22656,-0.32908,0.15636,0.19616,-0.27634,0.21678,0.14026,0.17592,0.17778,-0.02402,-0.23578
0.02812,-0.24606,-0.3347,0.1787,0.18782,-0.28688,0.22176,0.14234,0.17414,0.17606,-0.02622,-0.2432
0.01204,-0.26068,-0.34034,0.20104,0.18782,-0.2974,0.21678,0.13606,0.16874,0.16918,-0.03494,-0.25434
0.02812,-0.26068,-0.35158,0.1936,0.20452,-0.30266,0.21678,0.13606,0.16874,0.16918,-0.03494,-0.25804
