Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.092,0.06832,-0.2022,-0.31784,0.12658,0.19616,-0.2553,0.26662,0.1612,0.19748,0.19324,-0.0131,-0.23206
0.094,0.06028,-0.21194,-0.31784,0.14146,0.19616,-0.26056,0.26662,0.1612,0.19926,0.19324,-0.01528,-0.23206
0.096,0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.26662,0.16328,0.19926,0.19496,-0.01528,-0.23206
0.098,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.26662,0.16328,0.20106,0.19666,-0.0131,-0.23206
0.1,0.06028,-0.21682,-0.32346,0.14146,0.19616,-0.26582,0.25664,0.16328,0.20106,0.19496,-0.0131,-0.23578
0.102,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.16328,0.19926,0.19496,-0.01528,-0.23578
0.104,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.1612,0.19748,0.19496,-0.01528,-0.23578
0.106,0.05224,-0.19734,-0.30096,0.13402,0.17112,-0.25002,0.26162,0.1612,0.19748,0.19496,-0.0131,-0.22834
0.108,0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.1612,0.19748,0.19666,-0.0131,-0.22834
0.11,0.07636,-0.19734,-0.3122,0.12658,0.19616,-0.25002,0.26662,0.16328,0.19926,0.19496,-0.01528,-0.23206
0.112,0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.16538,0.19926,0.19496,-0.01748,-0.23578
0.114,0.06832,-0.2022,-0.31784,0.12658,0.19616,-0.2553,0.26662,0.16748,0.20106,0.19496,-0.01966,-0.23206
0.116,0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26662,0.16748,0.20106,0.19496,-0.01966,-0.23578
0.118,0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.2716,0.16748,0.20286,0.19666,-0.01966,-0.2432
0.12,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26662,0.16748,0.20286,0.19838,-0.01528,-0.23578
0.122,0.07636,-0.2022,-0.31784,0.12658,0.20452,-0.2553,0.26662,0.16538,0.20106,0.19838,-0.01528,-0.23206
