Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
1.1,0.02812,-0.2558,-0.34596,0.18614,0.19616,-0.2974,0.22176,0.14444,0.17414,0.16746,-0.03494,-0.23206
1.102,0.02812,-0.2558,-0.34596,0.18614,0.19616,-0.2974,0.22674,0.14654,0.17772,0.17262,-0.03494,-0.22834
1.104,0.02008,-0.2558,-0.34034,0.1936,0.18782,-0.2974,0.23172,0.14864,0.17772,0.17434,-0.03276,-0.22834
1.106,0.01204,-0.26068,-0.34034,0.20104,0.18782,-0.2974,0.22674,0.14654,0.17592,0.1709,-0.03714,-0.23578
1.108,0.06028,-0.24118,-0.35158,0.1638,0.21286,-0.29214,0.23172,0.14864,0.17592,0.1709,-0.03714,-0.23206
1.11,0.06832,-0.21682,-0.32908,0.14146,0.20452,-0.27108,0.2367,0.15072,0.17772,0.17262,-0.03494,-0.23206
1.112,0.0442,-0.23144,-0.32908,0.1638,0.19616,-0.27634,0.2367,0.14654,0.17592,0.17262,-0.03714,-0.23578
1.114,0.0442,-0.24606,-0.34596,0.17126,0.20452,-0.29214,0.2367,0.14654,0.17414,0.1709,-0.03714,-0.23948
1.116,0.0442,-0.24118,-0.34034,0.17126,0.20452,-0.28688,0.2417,0.14864,0.17592,0.1709,-0.03494,-0.23948
1.118,0.004,-0.25092,-0.32346,0.1936,0.17112,-0.28688,0.24668,0.15072,0.17592,0.1709,-0.03494,-0.23578
1.12,0.01204,-0.26068,-0.34034,0.20104,0.18782,-0.2974,0.2417,0.14864,0.17414,0.16918,-0.03714,-0.23948
1.122,0.05224,-0.2558,-0.36284,0.1787,0.21286,-0.30792,0.2417,0.15072,0.17592,0.16918,-0.03714,-0.23578
1.124,0.06028,-0.2558,-0.36846,0.17126,0.2212,-0.30792,0.2367,0.15072,0.17592,0.1709,-0.03276,-0.23206
1.126,0.0442,-0.25092,-0.35158,0.1787,0.20452,-0.2974,0.24668,0.15282,0.17772,0.17262,-0.03058,-0.22834
1.128,0.03616,-0.24606,-0.34034,0.1787,0.19616,-0.29214,0.24668,0.15282,0.17772,0.17262,-0.03058,-0.23206
1.13,0.01204,-0.25092,-0.32908,0.1936,0.17946,-0.28688,0.25166,0.15492,0.17952,0.17434,-0.03058,-0.23206
1.132,0.02008,-0.24118,-0.32346,0.1787,0.17946,-0.2816,0.24668,0.15492,0.17952,0.17262,-0.03058,-0.22834
1.134,0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.25166,0.15282,0.17772,0.1709,-0.0284,-0.22834
1.136,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.24668,0.15072,0.17772,0.16918,-0.0284,-0.22834
1.138,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.2417,0.15072,0.17772,0.17262,-0.0284,-0.22834
1.14,0.02008,-0.22656,-0.3122,0.17126,0.16276,-0.26582,0.24668,0.15492,0.18312,0.17778,-0.02402,-0.22464
1.142,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.25664,0.1612,0.1867,0.1795,-0.02622,-0.22834
1.144,0.05224,-0.2022,-0.30658,0.13402,0.17946,-0.2553,0.26162,0.16538,0.1885,0.18292,-0.02184,-0.22092
1.146,0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26162,0.16328,0.1903,0.18636,-0.01748,-0.2135
1.148,0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26662,0.16328,0.19208,0.18636,-0.01748,-0.2172
1.15,0.0442,-0.19734,-0.29534,0.13402,0.16276,-0.24476,0.26662,0.16538,0.19208,0.18636,-0.01966,-0.2172
1.152,0.05224,-0.18758,-0.28408,0.12658,0.16276,-0.23424,0.26662,0.16538,0.19388,0.18808,-0.01966,-0.2172
1.154,0.06832,-0.17784,-0.28408,0.11168,0.17112,-0.22898,0.26662,0.16328,0.19208,0.18464,-0.01966,-0.2135
1.156,0.07636,-0.17784,-0.2897,0.11168,0.17946,-0.22898,0.26662,0.16538,0.19568,0.18808,-0.01528,-0.20978
1.158,0.05224,-0.17784,-0.27284,0.11912,0.15442,-0.2237,0.2716,0.16538,0.19568,0.18636,-0.01748,-0.2135
1.16,0.0442,-0.17296,-0.26158,0.11912,0.13772,-0.21318,0.27658,0.16328,0.19388,0.18808,-0.01748,-0.2172
1.162,0.06028,-0.16322,-0.26158,0.10422,0.14608,-0.20792,0.27658,0.16538,0.19388,0.18808,-0.01748,-0.2172
1.164,0.06028,-0.16322,-0.26158,0.10422,0.14608,-0.20792,0.28156,0.16538,0.19388,0.18636,-0.01966,-0.2172
1.166,0.03616,-0.18272,-0.2672,0.12658,0.13772,-0.2237,0.28156,0.16748,0.19748,0.1898,-0.01528,-0.2172
1.168,0.03616,-0.18272,-0.2672,0.12658,0.13772,-0.2237,0.29152,0.16956,0.19748,0.1898,-0.01748,-0.22092
1.17,0.05224,-0.17296,-0.2672,0.11912,0.14608,-0.21844,0.29652,0.17376,0.20106,0.19152,-0.0131,-0.2135
1.172,0.06028,-0.15836,-0.25596,0.10422,0.14608,-0.20266,0.29652,0.17166,0.20106,0.19496,-0.0131,-0.2135
1.174,0.06028,-0.13398,-0.22784,0.08188,0.12102,-0.17634,0.28654,0.16956,0.20106,0.19324,-0.0131,-0.2172
1.176,0.07636,-0.1145,-0.21658,0.05954,0.12102,-0.16054,0.2716,0.16328,0.19926,0.19324,-0.01092,-0.2172
1.178,0.07636,-0.09502,-0.19408,0.04466,0.10434,-0.13948,0.26662,0.157,0.19568,0.1898,-0.0131,-0.2172
1.18,0.06028,-0.09502,-0.18284,0.0521,0.08764,-0.13422,0.26662,0.15282,0.19208,0.1898,-0.01528,-0.2172
1.182,0.06028,-0.10476,-0.19408,0.05954,0.09598,-0.14476,0.24668,0.14654,0.1885,0.18808,-0.01748,-0.2172
1.184,0.08442,-0.10476,-0.21096,0.0521,0.12102,-0.15528,0.23172,0.14234,0.18312,0.18292,-0.01966,-0.22092
1.186,0.1005,-0.10476,-0.22784,0.0372,0.14608,-0.16054,0.22176,0.14026,0.18132,0.18292,-0.01966,-0.2172
1.188,0.06832,-0.10962,-0.20534,0.05954,0.11268,-0.15528,0.21678,0.14026,0.18132,0.18464,-0.01528,-0.20978
1.19,0.06832,-0.09014,-0.18284,0.04466,0.09598,-0.13422,0.2068,0.14234,0.18312,0.18636,-0.00874,-0.19492
1.192,0.08442,-0.08526,-0.18846,0.0372,0.10434,-0.13422,0.19684,0.13816,0.18312,0.18636,-0.00874,-0.19492
1.194,0.08442,-0.07552,-0.18284,0.02232,0.10434,-0.1237,0.19186,0.13816,0.18132,0.18808,-0.00436,-0.1875
1.196,0.08442,-0.09014,-0.19408,0.0372,0.11268,-0.13948,0.19186,0.13606,0.18132,0.18636,-0.00656,-0.19122
1.198,0.08442,-0.09988,-0.21096,0.04466,0.12938,-0.15002,0.18688,0.13188,0.17592,0.1795,-0.0131,-0.19864
1.2,0.07636,-0.09988,-0.1997,0.0521,0.11268,-0.14476,0.19186,0.13398,0.17592,0.1795,-0.0131,-0.19864
1.202,0.08442,-0.09014,-0.19408,0.0372,0.11268,-0.13948,0.2068,0.14026,0.17952,0.1812,-0.00874,-0.1875
1.204,0.11658,-0.09014,-0.2222,0.02232,0.15442,-0.15002,0.2118,0.14234,0.18132,0.18292,-0.01092,-0.19492
1.206,0.1005,-0.10962,-0.23346,0.04466,0.15442,-0.1658,0.2118,0.14234,0.18132,0.18292,-0.01528,-0.19864
1.208,0.08442,-0.12912,-0.2447,0.067,0.15442,-0.1816,0.21678,0.14444,0.1849,0.18464,-0.0131,-0.19492
1.21,0.09246,-0.14374,-0.2672,0.07444,0.17112,-0.20266,0.21678,0.14654,0.1885,0.1898,-0.00874,-0.19122
1.212,0.12462,-0.15348,-0.30096,0.067,0.20452,-0.2237,0.21678,0.15072,0.1903,0.1898,-0.00436,-0.1838
1.214,0.13266,-0.17296,-0.32346,0.07444,0.22956,-0.24476,0.21678,0.14864,0.1885,0.18808,-0.00656,-0.1838
1.216,0.11658,-0.17296,-0.31784,0.08188,0.21286,-0.2395,0.22176,0.15072,0.1885,0.18808,-0.00436,-0.1838
1.218,0.1005,-0.18272,-0.31784,0.09678,0.20452,-0.24476,0.22674,0.14864,0.1885,0.18464,-0.00436,-0.1838
1.22,0.10854,-0.19734,-0.3347,0.10422,0.22956,-0.26056,0.21678,0.14444,0.1849,0.18292,-0.00874,-0.1838
1.222,0.12462,-0.17784,-0.32346,0.08188,0.22956,-0.25002,0.2118,0.14234,0.18312,0.1812,-0.00874,-0.1875
1.224,0.14874,-0.15348,-0.31784,0.0521,0.22956,-0.22898,0.2118,0.14444,0.18132,0.18464,-0.00874,-0.1838
1.226,0.12462,-0.14374,-0.2897,0.05954,0.20452,-0.21318,0.2068,0.14234,0.18132,0.18464,-0.00874,-0.1875
1.228,0.09246,-0.15348,-0.27846,0.08188,0.17946,-0.21318,0.20182,0.13816,0.17592,0.17778,-0.01528,-0.19122
1.23,0.1005,-0.15836,-0.2897,0.08188,0.19616,-0.21844,0.19684,0.13398,0.17234,0.17434,-0.01966,-0.19864
1.232,0.08442,-0.17784,-0.29534,0.10422,0.18782,-0.23424,0.20182,0.13606,0.17414,0.17434,-0.02184,-0.20606
1.234,0.07636,-0.18758,-0.30096,0.11912,0.18782,-0.2395,0.2118,0.14026,0.17592,0.17606,-0.02184,-0.20606
1.236,0.07636,-0.19246,-0.30658,0.11912,0.18782,-0.24476,0.22176,0.14234,0.17592,0.17778,-0.02184,-0.2135
1.238,0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.22176,0.14444,0.17592,0.17434,-0.02402,-0.22464
1.24,0.07636,-0.20708,-0.32346,0.12658,0.20452,-0.26056,0.22674,0.14234,0.17414,0.17262,-0.02622,-0.22834
1.242,0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.2367,0.14444,0.17772,0.17434,-0.02402,-0.22834
1.244,0.004,-0.24118,-0.31784,0.18614,0.16276,-0.27634,0.2417,0.14864,0.17952,0.17778,-0.02402,-0.22834
1.246,-0.0201,-0.26554,-0.32346,0.21594,0.15442,-0.29214,0.25166,0.14864,0.18132,0.1795,-0.02402,-0.22834
1.248,0.03616,-0.2558,-0.35158,0.18614,0.20452,-0.30266,0.25664,0.14864,0.17772,0.17606,-0.02622,-0.22834
1.25,0.02812,-0.26554,-0.3572,0.1936,0.20452,-0.30792,0.25166,0.14654,0.17414,0.17434,-0.0284,-0.22834
1.252,0.01204,-0.27528,-0.3572,0.20848,0.19616,-0.3132,0.2417,0.14654,0.17414,0.17262,-0.0284,-0.22834
1.254,0.004,-0.27528,-0.35158,0.21594,0.18782,-0.3132,0.2417,0.14654,0.17414,0.1709,-0.0284,-0.23206
1.256,0.05224,-0.26068,-0.36846,0.1787,0.2212,-0.3132,0.2367,0.14654,0.17414,0.1709,-0.02622,-0.22834
1.258,0.06832,-0.24606,-0.36284,0.1638,0.2212,-0.30266,0.2417,0.14654,0.17414,0.16918,-0.0284,-0.22834
1.26,0.07636,-0.24118,-0.36284,0.15636,0.22956,-0.2974,0.2367,0.14444,0.17234,0.16746,-0.03276,-0.23948
1.262,0.05224,-0.25092,-0.3572,0.17126,0.21286,-0.30266,0.23172,0.14654,0.17414,0.16746,-0.03276,-0.23948
1.264,0.02812,-0.24118,-0.32908,0.1787,0.18782,-0.2816,0.2367,0.14864,0.17414,0.16918,-0.03058,-0.23578
1.266,0.03616,-0.24118,-0.3347,0.17126,0.19616,-0.28688,0.23172,0.14654,0.17414,0.16918,-0.03276,-0.23948
1.268,0.0442,-0.2363,-0.3347,0.1638,0.19616,-0.2816,0.2367,0.14444,0.17234,0.16746,-0.03494,-0.2432
1.27,0.02008,-0.2558,-0.34034,0.1936,0.18782,-0.2974,0.23172,0.14026,0.17054,0.16746,-0.03932,-0.2469
1.272,0.01204,-0.26068,-0.34034,0.20104,0.18782,-0.2974,0.23172,0.14026,0.16874,0.16574,-0.03932,-0.25062
1.274,0.01204,-0.26554,-0.34596,0.20104,0.18782,-0.30266,0.23172,0.13816,0.16874,0.16404,-0.03932,-0.25062
1.276,0.01204,-0.27042,-0.35158,0.20848,0.19616,-0.30792,0.23172,0.14026,0.16874,0.16746,-0.03714,-0.2432
1.278,0.02812,-0.26068,-0.35158,0.1936,0.20452,-0.30266,0.24668,0.14444,0.17234,0.16746,-0.03494,-0.2432
1.28,-0.00402,-0.26554,-0.3347,0.20848,0.17112,-0.2974,0.24668,0.14654,0.17414,0.16918,-0.03494,-0.2432
1.282,0.004,-0.26554,-0.34034,0.20848,0.17946,-0.30266,0.24668,0.14654,0.17234,0.16574,-0.03714,-0.25062
1.284,0.02812,-0.2558,-0.34596,0.18614,0.19616,-0.2974,0.2417,0.14444,0.17234,0.16746,-0.03714,-0.25062
1.286,0.03616,-0.2558,-0.35158,0.18614,0.20452,-0.30266,0.2417,0.14444,0.17414,0.17262,-0.03494,-0.2469
1.288,0.06028,-0.24606,-0.3572,0.1638,0.21286,-0.2974,0.24668,0.14654,0.17414,0.17262,-0.03494,-0.2469
1.29,0.02812,-0.25092,-0.34034,0.18614,0.19616,-0.29214,0.24668,0.14444,0.17414,0.1709,-0.03714,-0.25062
1.292,0.01204,-0.25092,-0.32908,0.1936,0.17946,-0.28688,0.24668,0.14444,0.17234,0.16746,-0.03932,-0.25804
1.294,0.02008,-0.2558,-0.34034,0.1936,0.18782,-0.2974,0.24668,0.14654,0.17414,0.16918,-0.03714,-0.25434
1.296,0.004,-0.26554,-0.34034,0.20848,0.17946,-0.30266,0.26662,0.15492,0.18132,0.17434,-0.03494,-0.25804
1.298,0.03616,-0.27042,-0.36846,0.1936,0.21286,-0.31846,0.28654,0.16748,0.19388,0.1795,-0.03494,-0.26918
1.3,0.02812,-0.29478,-0.39096,0.21594,0.2212,-0.3395,0.32142,0.18422,0.21364,0.19324,-0.03714,-0.27662
1.302,-0.01206,-0.32402,-0.39658,0.26062,0.20452,-0.36056,0.37624,0.21144,0.23518,0.21042,-0.03494,-0.28404
1.304,-0.03618,-0.35324,-0.41346,0.2904,0.20452,-0.38162,0.43106,0.24076,0.2621,0.2293,-0.0284,-0.29518
1.306,-0.03618,-0.38736,-0.45284,0.32018,0.2379,-0.41846,0.47094,0.27216,0.29264,0.25336,-0.02184,-0.2989
1.308,-0.00402,-0.37274,-0.45846,0.2904,0.2546,-0.4132,0.49586,0.291,0.31598,0.27912,-0.00436,-0.28776
1.31,0.03616,-0.31426,-0.41908,0.23082,0.24626,-0.36582,0.50084,0.31612,0.35906,0.3341,0.03494,-0.25062
1.312,0.09246,-0.26068,-0.4022,0.15636,0.2713,-0.32898,0.52576,0.358,0.4237,0.40108,0.08954,-0.20606
1.314,0.13266,-0.2022,-0.36284,0.10422,0.26294,-0.27634,0.55566,0.3936,0.47756,0.46808,0.14852,-0.16152
1.316,0.12462,-0.15836,-0.30658,0.067,0.21286,-0.22898,0.58058,0.40196,0.4973,0.51618,0.20314,-0.11324
1.318,0.19698,-0.07552,-0.26158,-0.0298,0.21286,-0.16054,0.55566,0.36428,0.4578,0.5179,0.24246,-0.0724
1.32,0.21306,-0.00244,-0.18284,-0.09682,0.17112,-0.08158,0.49586,0.29518,0.37162,0.4887,0.27304,-0.02784
1.322,0.21306,0.06576,-0.10408,-0.14894,0.11268,-0.01316,0.43106,0.2261,0.29084,0.46292,0.31672,0.0464
1.324,0.22914,0.15834,-0.01408,-0.21596,0.05424,0.08156,0.34136,0.15282,0.20824,0.44232,0.36916,0.12064
1.326,0.30152,0.26066,0.05902,-0.33512,0.03754,0.17104,0.26162,0.08164,0.13104,0.42342,0.42594,0.20604
1.328,0.3578,0.38734,0.16028,-0.45426,-0.01252,0.28684,0.18688,0.00836,0.06102,0.3925,0.46746,0.2803
1.33,0.30152,0.4799,0.31216,-0.49894,-0.1461,0.40266,0.08222,-0.08374,-0.0431,0.31004,0.45434,0.30258
1.332,0.2613,0.56274,0.43028,-0.54362,-0.26296,0.50792,-0.0274,-0.1696,-0.14902,0.20354,0.41066,0.30258
1.334,0.20502,0.6553,0.58216,-0.5883,-0.40488,0.62372,-0.12708,-0.24706,-0.24776,0.08674,0.34294,0.27288
1.336,0.08442,0.64556,0.65528,-0.52128,-0.52176,0.6553,-0.17192,-0.32034,-0.34652,-0.06956,0.1944,0.18376
1.338,-0.13268,0.50914,0.64402,-0.32022,-0.62194,0.58162,-0.16694,-0.38524,-0.45424,-0.2946,-0.06772,-0.0167
1.34,-0.31762,0.29476,0.53152,-0.07448,-0.63864,0.40792,-0.14202,-0.41456,-0.54222,-0.52306,-0.3648,-0.26176
1.342,-0.36586,0.05114,0.28402,0.13402,-0.48002,0.16578,-0.10714,-0.39572,-0.56018,-0.6141,-0.50898,-0.39172
1.344,-0.3337,-0.13886,0.04216,0.26806,-0.27966,-0.05,-0.12208,-0.38106,-0.56196,-0.63816,-0.56796,-0.46226
1.346,-0.36586,-0.27042,-0.09284,0.38722,-0.19618,-0.18686,-0.147,-0.38734,-0.57454,-0.6519,-0.60728,-0.51796
1.348,-0.38194,-0.35812,-0.1772,0.45424,-0.13774,-0.27108,-0.19186,-0.402,-0.58352,-0.65534,-0.62912,-0.56622
1.35,-0.38194,-0.35324,-0.17158,0.44678,-0.1461,-0.26582,-0.25166,-0.41664,-0.5925,-0.64846,-0.64004,-0.60334
1.352,-0.39802,-0.34838,-0.1547,0.45424,-0.16278,-0.2553,-0.32144,-0.4355,-0.59968,-0.64502,-0.64878,-0.63306
1.354,-0.4141,-0.36298,-0.16034,0.46912,-0.17114,-0.26582,-0.38124,-0.44178,-0.59428,-0.62784,-0.64004,-0.6442
1.356,-0.38998,-0.37274,-0.18846,0.46912,-0.13774,-0.28688,-0.45598,-0.43968,-0.57812,-0.60036,-0.62256,-0.64048
1.358,-0.34978,-0.36786,-0.21096,0.44678,-0.10436,-0.29214,-0.5108,-0.42502,-0.5512,-0.56944,-0.6029,-0.6442
1.36,-0.36586,-0.34838,-0.1772,0.43934,-0.13774,-0.26582,-0.53074,-0.39362,-0.5099,-0.52478,-0.5767,-0.6479
1.362,-0.31762,-0.42634,-0.30658,0.47658,-0.02088,-0.3711,-0.46098,-0.32452,-0.43628,-0.45606,-0.52864,-0.62192
1.364,-0.26132,-0.52864,-0.45846,0.5287,0.12938,-0.49742,-0.36628,-0.25544,-0.36268,-0.3908,-0.48276,-0.59222
1.366,-0.25328,-0.59686,-0.54846,0.58082,0.19616,-0.57638,-0.28156,-0.2031,-0.30164,-0.32896,-0.44562,-0.57736
1.368,-0.26132,-0.65534,-0.6047,0.63296,0.22956,-0.63954,-0.22176,-0.16332,-0.25316,-0.27398,-0.4063,-0.56622
1.37,-0.22916,-0.65046,-0.6272,0.61062,0.2713,-0.6448,-0.22674,-0.15284,-0.22264,-0.2362,-0.37572,-0.54766
1.372,-0.18092,-0.64558,-0.65534,0.58082,0.31304,-0.65534,-0.22176,-0.12772,-0.19212,-0.19668,-0.34296,-0.51796
1.374,-0.16484,-0.6261,-0.64408,0.55848,0.31304,-0.63954,-0.20182,-0.0984,-0.14902,-0.1503,-0.30364,-0.48824
1.376,-0.14072,-0.58712,-0.61034,0.5138,0.30468,-0.6027,-0.17192,-0.0691,-0.10594,-0.10564,-0.26432,-0.45854
1.378,-0.10856,-0.54326,-0.5822,0.46912,0.29634,-0.56584,-0.11212,-0.0314,-0.06104,-0.0627,-0.23154,-0.43256
1.38,-0.08442,-0.4848,-0.5372,0.417,0.2713,-0.50794,-0.04236,0.01044,-0.00898,-0.0146,-0.19004,-0.39542
1.382,-0.03618,-0.43608,-0.5147,0.35742,0.27964,-0.4711,0.04234,0.0586,0.04486,0.0352,-0.15072,-0.35458
1.384,-0.01206,-0.3776,-0.45846,0.29784,0.2546,-0.41846,0.0872,0.09628,0.09514,0.08674,-0.10922,-0.31746
1.386,0.004,-0.31914,-0.4022,0.24572,0.2212,-0.36056,0.13206,0.11514,0.13284,0.12796,-0.07864,-0.28404
1.388,0.02812,-0.28016,-0.37408,0.20848,0.21286,-0.32372,0.19186,0.14026,0.16156,0.15716,-0.0568,-0.26548
1.39,0.0442,-0.27042,-0.37408,0.1936,0.2212,-0.31846,0.2367,0.1612,0.1849,0.1812,-0.03932,-0.25062
1.392,0.03616,-0.29478,-0.39658,0.21594,0.22956,-0.34478,0.26662,0.17376,0.19926,0.19324,-0.03058,-0.23948
1.394,0.004,-0.3094,-0.39096,0.23828,0.21286,-0.35004,0.28156,0.18214,0.21004,0.20526,-0.01966,-0.23206
1.396,0.03616,-0.3094,-0.41346,0.22338,0.24626,-0.36056,0.28156,0.18214,0.21542,0.21042,-0.0131,-0.22834
1.398,0.06028,-0.30452,-0.4247,0.20848,0.26294,-0.36056,0.29152,0.18422,0.21902,0.21212,-0.00874,-0.22464
1.4,0.07636,-0.2899,-0.41908,0.1936,0.2713,-0.35004,0.28654,0.18842,0.22262,0.219,-0.00436,-0.22092
1.402,0.08442,-0.28016,-0.41346,0.1787,0.2713,-0.34478,0.28156,0.1926,0.2262,0.22072,-0.00436,-0.22092
1.404,0.06832,-0.27528,-0.39658,0.18614,0.24626,-0.33424,0.28156,0.1905,0.228,0.22416,-0.00436,-0.22092
1.406,0.06028,-0.27528,-0.39096,0.18614,0.2379,-0.32898,0.27658,0.1905,0.23158,0.2276,-0.00436,-0.22464
1.408,0.06832,-0.26554,-0.38534,0.1787,0.2379,-0.32372,0.28156,0.1947,0.23518,0.2293,0.0,-0.22092
1.41,0.07636,-0.26554,-0.39096,0.17126,0.24626,-0.32372,0.29152,0.19888,0.24056,0.2379,0.00654,-0.2135
1.412,0.07636,-0.27528,-0.4022,0.1787,0.2546,-0.33424,0.31146,0.20516,0.24596,0.24476,0.01528,-0.20236
1.414,0.08442,-0.27528,-0.40784,0.1787,0.26294,-0.3395,0.32642,0.20934,0.25314,0.25508,0.02402,-0.19122
1.416,0.09246,-0.28016,-0.4247,0.17126,0.288,-0.35004,0.32142,0.20934,0.25672,0.2568,0.0262,-0.1875
1.418,0.1005,-0.28016,-0.43034,0.17126,0.29634,-0.35004,0.32642,0.21144,0.26032,0.25852,0.02838,-0.1838
1.42,0.09246,-0.27042,-0.41346,0.1638,0.27964,-0.3395,0.32642,0.21354,0.2621,0.26022,0.03274,-0.1838
1.422,0.10854,-0.26068,-0.41346,0.14892,0.288,-0.33424,0.32142,0.21354,0.2657,0.26022,0.03056,-0.1838
1.424,0.13266,-0.24118,-0.40784,0.12658,0.29634,-0.31846,0.31644,0.21144,0.2657,0.26194,0.03056,-0.1838
1.426,0.10854,-0.23144,-0.3797,0.12658,0.26294,-0.30266,0.31146,0.21354,0.2693,0.26538,0.03056,-0.1838
1.428,0.08442,-0.2363,-0.36284,0.14892,0.22956,-0.2974,0.32642,0.21772,0.27468,0.27054,0.03494,-0.1875
1.43,0.08442,-0.25092,-0.38534,0.15636,0.2546,-0.3132,0.32642,0.21982,0.27648,0.27398,0.03274,-0.19122
1.432,0.09246,-0.26068,-0.4022,0.15636,0.2713,-0.32898,0.32642,0.21982,0.27468,0.27568,0.03056,-0.19492
1.434,0.1005,-0.2558,-0.4022,0.14892,0.2713,-0.32372,0.33638,0.22192,0.27826,0.2774,0.0393,-0.1838
1.436,0.10854,-0.24606,-0.39658,0.14146,0.2713,-0.31846,0.34136,0.2261,0.28186,0.28084,0.04366,-0.18008
1.438,0.10854,-0.25092,-0.4022,0.14146,0.27964,-0.32372,0.34136,0.224,0.28186,0.27912,0.04586,-0.1838
1.44,0.1005,-0.24606,-0.39096,0.14146,0.26294,-0.3132,0.33638,0.224,0.28366,0.28084,0.04804,-0.18008
1.442,0.09246,-0.24118,-0.3797,0.14146,0.2546,-0.30792,0.33638,0.22192,0.28366,0.27912,0.04586,-0.1838
1.444,0.08442,-0.2363,-0.36284,0.14892,0.22956,-0.2974,0.33638,0.21982,0.28544,0.28084,0.04586,-0.1838
1.446,0.08442,-0.2363,-0.36846,0.14146,0.2379,-0.2974,0.34136,0.2261,0.28904,0.28428,0.04586,-0.1838
1.448,0.08442,-0.24606,-0.37408,0.15636,0.2379,-0.30792,0.34136,0.2261,0.29084,0.28772,0.04804,-0.1838
1.45,0.08442,-0.24606,-0.3797,0.14892,0.24626,-0.30792,0.34634,0.2282,0.29442,0.29286,0.05022,-0.18008
1.452,0.08442,-0.25092,-0.3797,0.15636,0.24626,-0.3132,0.34634,0.2282,0.29264,0.29286,0.04804,-0.1838
1.454,0.08442,-0.25092,-0.38534,0.15636,0.2546,-0.3132,0.35134,0.23238,0.29442,0.2963,0.0546,-0.17636
1.456,0.08442,-0.25092,-0.38534,0.15636,0.2546,-0.3132,0.35632,0.23448,0.29622,0.29974,0.05896,-0.16894
1.458,0.09246,-0.25092,-0.39096,0.14892,0.26294,-0.31846,0.35632,0.23656,0.29622,0.29974,0.06114,-0.16894
1.46,0.09246,-0.24606,-0.38534,0.14892,0.2546,-0.3132,0.3613,0.23656,0.29982,0.30146,0.06332,-0.16152
1.462,0.08442,-0.23144,-0.36284,0.14146,0.2379,-0.29214,0.3613,0.23866,0.3034,0.30318,0.06552,-0.16152
1.464,0.11658,-0.21682,-0.36846,0.11912,0.2546,-0.28688,0.35632,0.23866,0.3052,0.3049,0.06552,-0.16152
1.466,0.12462,-0.20708,-0.36284,0.11168,0.2546,-0.2816,0.34634,0.23866,0.3034,0.3049,0.06114,-0.16894
1.468,0.1005,-0.2217,-0.36284,0.12658,0.24626,-0.28688,0.35134,0.23866,0.3052,0.3066,0.06114,-0.17266
1.47,0.10854,-0.23144,-0.3797,0.12658,0.26294,-0.30266,0.3613,0.24076,0.3088,0.31176,0.06332,-0.16894
1.472,0.1005,-0.24606,-0.39096,0.14146,0.26294,-0.3132,0.36628,0.24494,0.31058,0.31348,0.06552,-0.16522
1.474,0.08442,-0.2558,-0.39096,0.15636,0.2546,-0.31846,0.37624,0.24912,0.31598,0.32036,0.07206,-0.1578
1.476,0.08442,-0.24606,-0.3797,0.14892,0.24626,-0.30792,0.37624,0.25122,0.31776,0.32036,0.07426,-0.1578
1.478,0.10854,-0.2363,-0.38534,0.13402,0.26294,-0.30792,0.37624,0.25332,0.31956,0.32206,0.0808,-0.14666
1.48,0.13266,-0.2363,-0.4022,0.12658,0.288,-0.3132,0.36628,0.2554,0.32316,0.3255,0.08518,-0.14666
1.482,0.1005,-0.24606,-0.39096,0.14146,0.26294,-0.3132,0.35632,0.25332,0.32316,0.32378,0.0808,-0.15038
1.484,0.1005,-0.24118,-0.38534,0.14146,0.26294,-0.30792,0.3613,0.25122,0.32494,0.3255,0.0808,-0.15038
1.486,0.10854,-0.22656,-0.37408,0.12658,0.2546,-0.2974,0.3613,0.2575,0.32854,0.32894,0.0808,-0.15038
1.488,0.11658,-0.21682,-0.36846,0.11912,0.2546,-0.28688,0.36628,0.2596,0.33392,0.33238,0.08518,-0.14666
1.49,0.13266,-0.2022,-0.36284,0.10422,0.26294,-0.27634,0.37126,0.26378,0.3411,0.34268,0.09172,-0.13552
1.492,0.18894,-0.19246,-0.38534,0.067,0.30468,-0.2816,0.37624,0.26588,0.3429,0.3444,0.09392,-0.13552
1.494,0.17286,-0.19734,-0.3797,0.07444,0.29634,-0.2816,0.37624,0.26588,0.3429,0.34612,0.0961,-0.13552
1.496,0.12462,-0.21194,-0.36846,0.11168,0.26294,-0.28688,0.37624,0.26588,0.3429,0.34612,0.09828,-0.13924
1.498,0.11658,-0.21682,-0.36846,0.11912,0.2546,-0.28688,0.38622,0.27216,0.3465,0.34956,0.10484,-0.1318
1.5,0.10854,-0.23144,-0.3797,0.12658,0.26294,-0.30266,0.38622,0.27216,0.34828,0.35128,0.10484,-0.1318
